                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 2.5034,                0.07146,                0.03982,                 2.1036,                 1.3402,                0.34067,                0.38384,                0.25587,                0.07987,                0.50575,                0.44662,                0.43092,                0.42991,                 2.5128,                0.06543,                0.00293,                 2.1535,                 1.3851,              0.0015842,              0.0015842,              0.0015842
                     24,                  2.479,                0.06581,                0.05328,                 2.0374,                 1.3201,                0.43192,                0.45865,                0.35936,                0.11955,                0.58637,                0.45865,                0.51607,                0.51488,                 2.3758,                0.05906,                 0.0033,                  1.921,                  1.344,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.4672,                0.06409,                0.06748,                 2.0369,                  1.338,                 0.5734,                0.47903,                0.49507,                0.16529,                0.65593,                0.52632,                0.58868,                0.58745,                  2.334,                 0.0556,                0.00548,                   1.83,                 1.3463,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.4529,                0.06382,                0.03755,                 2.0074,                 1.3147,                0.34613,                0.45852,                 0.2863,                0.09414,                0.57717,                 0.4797,                0.49902,                0.49786,                 2.3453,                0.05572,                0.00395,                 1.9889,                 1.3304,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.4473,                0.06247,                0.04761,                 2.0741,                 1.3112,                0.37045,                0.44775,                0.30962,                 0.0955,                0.59555,                0.51593,                0.52786,                 0.5262,                 2.3494,                 0.0534,                 0.0027,                 2.0359,                 1.3335,               0.001505,               0.001505,               0.001505
                     28,                 2.4253,                0.05817,                0.04454,                 1.9782,                 1.3021,                0.55039,                0.42105,                0.42336,                0.14084,                0.65704,                0.45564,                0.52681,                0.52514,                 2.3449,                0.05761,                0.00518,                 1.9283,                 1.3481,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.4025,                0.05897,                0.04168,                 1.9933,                 1.3169,                0.48532,                0.46917,                0.43588,                 0.1495,                0.60566,                0.50376,                0.54453,                0.54305,                 2.2528,                0.05043,                0.00283,                 1.7941,                 1.3064,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.3643,                0.06032,                 0.0385,                 1.9202,                 1.2921,                0.43713,                0.46917,                0.37168,                0.12432,                0.59928,                0.49323,                0.54569,                0.54453,                 2.3597,                0.05293,                0.00336,                 1.8677,                 1.3438,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.3722,                0.05789,                 0.0509,                 1.8559,                 1.2902,                0.48583,                0.47519,                 0.4295,                0.15166,                0.58769,                0.51012,                0.53888,                0.53749,                 2.3258,                 0.0536,                0.00979,                 1.8742,                 1.3292,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.3707,                0.05622,                 0.0467,                 1.9016,                 1.2853,                0.52234,                0.46015,                0.41495,                0.14177,                0.60379,                0.50977,                0.53971,                0.53824,                 2.2721,                0.05053,                0.00331,                  1.796,                 1.3117,               0.001406,               0.001406,               0.001406
                     33,                 2.3378,                0.05554,                0.04236,                  1.819,                 1.2747,                0.48744,                0.48421,                0.44887,                0.15838,                0.64762,                0.49624,                0.57445,                0.57352,                 2.2146,                0.04726,                0.00363,                 1.7524,                 1.2889,              0.0013862,              0.0013862,              0.0013862
                     34,                 2.3455,                 0.0556,                0.05672,                  1.894,                 1.2867,                0.49287,                0.50376,                0.42101,                0.13355,                0.69331,                0.56541,                0.65092,                0.65012,                 2.2677,                0.04761,                  0.006,                  1.798,                 1.3105,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.3389,                0.05455,                0.04757,                 1.7829,                 1.2637,                0.50645,                0.46447,                0.42817,                0.13772,                0.63626,                0.49774,                0.55466,                 0.5532,                 2.3454,                0.05312,                0.00948,                 1.9309,                 1.3464,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.3146,                0.05358,                0.05327,                 1.8318,                 1.2949,                 0.5466,                0.49774,                0.48592,                0.16441,                0.62727,                0.56391,                0.61688,                0.61511,                 2.2495,                0.04635,                0.00315,                 1.6665,                 1.2982,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.3221,                0.05215,                0.04459,                 1.7746,                 1.2721,                0.48803,                0.48271,                0.43468,                0.13854,                0.69577,                0.50977,                0.59915,                0.59784,                 2.3194,                0.04761,                0.00488,                 1.8374,                 1.3123,               0.001307,               0.001307,               0.001307
                     38,                 2.3376,                0.05377,                0.04067,                 1.8089,                 1.2479,                0.45009,                0.48986,                0.40372,                0.13227,                0.71306,                0.53534,                0.61892,                0.61833,                 2.2459,                0.05142,                0.00403,                 1.7995,                 1.2931,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.3154,                0.05256,                0.05538,                 1.7795,                 1.2695,                0.49973,                 0.4812,                0.44232,                0.15311,                0.66651,                0.51579,                0.59316,                0.59064,                 2.2791,                0.04719,                0.00456,                 1.8042,                 1.3035,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.3314,                0.05392,                0.04213,                 1.8175,                 1.2558,                0.55556,                0.52632,                0.50742,                0.17094,                0.73346,                0.57293,                0.66949,                0.66813,                 2.1867,                0.04565,                0.00208,                  1.663,                  1.276,              0.0012476,              0.0012476,              0.0012476
                     41,                  2.278,                0.04851,                0.03709,                 1.7296,                 1.2567,                0.54854,                0.50677,                0.47584,                0.16251,                0.71865,                0.53835,                0.64402,                0.64233,                 2.2113,                0.04414,                0.00265,                 1.6494,                 1.2792,              0.0012278,              0.0012278,              0.0012278
                     42,                  2.247,                0.04854,                 0.0433,                 1.6653,                 1.2496,                0.66228,                0.53383,                0.56312,                0.19284,                0.74993,                0.59076,                0.67969,                0.67836,                 2.2521,                0.04379,                0.00198,                 1.6564,                 1.2895,               0.001208,               0.001208,               0.001208
                     43,                 2.2672,                0.05062,                0.04818,                 1.7557,                 1.2536,                0.68186,                0.50526,                0.54782,                0.18715,                0.76405,                0.57946,                0.66804,                0.66642,                 2.2376,                0.04694,                0.00217,                 1.6938,                 1.2871,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.2826,                   0.05,                0.05466,                 1.7231,                 1.2457,                 0.5568,                0.46767,                0.46674,                0.14765,                0.79255,                0.58024,                0.69585,                0.69441,                 2.2443,                0.04498,                0.00313,                 1.7202,                 1.2828,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.2502,                0.04776,                0.03713,                 1.7192,                 1.2354,                0.61219,                0.52224,                0.54087,                 0.1871,                0.76332,                0.58647,                0.69749,                0.69585,                 2.2274,                0.04321,                 0.0013,                 1.6272,                 1.2817,              0.0011486,              0.0011486,              0.0011486
